Epoch,Loss,Accuracy
1,0.32747196704149245,94.23076923076923
2,0.0006334289908409118,100.0
3,0.00010345727205276489,100.0
4,0.00010601505637168885,100.0
5,6.432384252548218e-05,100.0
6,9.596645832061767e-05,100.0
7,4.845559597015381e-05,100.0
8,5.765557289123535e-05,100.0
9,4.271790385246277e-05,100.0
10,4.247799515724182e-05,100.0
11,4.391223192214966e-05,100.0
12,3.656968474388123e-05,100.0
13,3.198981285095215e-05,100.0
14,0.00022170916199684143,100.0
15,6.513670086860657e-05,100.0
16,6.340891122817993e-05,100.0
17,4.74490225315094e-05,100.0
18,4.865601658821106e-05,100.0
19,2.804398536682129e-05,100.0
20,2.759099006652832e-05,100.0
1,0.2949498988687992,94.23076923076923
1,0.41245486587285995,92.94871794871794
2,0.14081290289759635,98.71794871794872
3,0.09436222687363624,98.71794871794872
4,0.06510084420442581,98.07692307692308
5,0.13193060606718063,98.71794871794872
6,0.04342896491289139,98.71794871794872
7,0.05393095389008522,99.35897435897436
8,0.029029016196727753,99.35897435897436
9,0.014420848339796066,99.35897435897436
10,0.012423715740442275,99.35897435897436
11,0.11223060563206673,98.71794871794872
12,0.03998780697584152,98.71794871794872
13,0.012143264710903167,100.0
14,0.004781057685613632,100.0
15,0.0024309225380420687,100.0
16,0.001361151784658432,100.0
17,0.0009692564606666565,100.0
18,0.0008414126932621002,100.0
19,0.00035443082451820375,100.0
20,0.00048329979181289674,100.0
1,0.4122553415596485,92.94871794871794
1,0.4120624475181103,92.94871794871794
1,0.41206182166934013,92.94871794871794
